title;sinopsis;main genre;second genre;author;num_page;avg_rating;rating;myrate;date_read;date_added
Caraval;A legendary competition.A mesmerizing romance.An unbreakable bondbetween two sisters.Scarlett Dragna has never left the tiny island where she and her sister, Tella, live with their powerful, and cruel, father. Now Scarlett’s father has arranged a marriage for her, and Scarlett thinks her dreams of seeing Caraval—the faraway, once-a-year performance where the audience participates in the show—are over.But this year, Scarlett’s long-dreamt-of invitation finally arrives. With the help of a mysterious sailor, Tella whisks Scarlett away to the show. Only, as soon as they arrive, Tella is kidnapped by Caraval’s mastermind organizer, Legend. It turns out that this season’s Caraval revolves around Tella, and whoever finds her first is the winner.Scarlett has been told that everything that happens during Caraval is only an elaborate performance. Nevertheless she becomes enmeshed in a game of love, heartbreak, and magic. And whether Caraval is real or not, Scarlett must find Tella before the five nights of the game are over or a dangerous domino effect of consequences will be set off, and her beloved sister will disappear forever.Welcome, welcome to Caraval . . . beware of getting swept too far away.;Fantasy;Young Adult;Garber, Stephanie;407;4;4;really liked it;Jan 04, 2023;Dec 21, 2022
Los dos amores de mi vida;Con poco más de veinte años, Emma Blair se casa con su amor de juventud, Jesse. Juntos construyen una vida a su medida, alejada de las expectativas de sus familias y entorno más cercano. Recorren el mundo, Emma como escritora freelance y Jesse como ayudante de producción de documentales sobre naturaleza, exprimiendo la vida al máximo y aprovechando cada oportunidad que se les presenta de vivir aventuras. En su primer aniversario de bodas, Jesse recibe el encargo de ir a trabajar a las Islas Aleutianas. Y mientras sobrevuela el Pacífico, su helicóptero desaparece. Así, sin más, Jesse se va para siempre.Emma deja su trabajo y regresa a su hogar en un esfuerzo por recomponer su vida. Años después, cuando ya ha cumplido los treinta, se reencuentra con Sam, un viejo amigo, y vuelve a enamorarse. Cuando Emma y Sam se comprometen, parece que la vida le está brindando una nueva oportunidad en el amor.Pero entonces encuentran a Jesse. Está vivo, y lleva años intentando volver a casa. Emma tiene ahora un marido y un prometido, ¿pero quién de ellos es su verdadero amor? ¿Qué significa en realidad amar de verdad? Emma sabe que debe escuchar a su corazón. Es solo que no está segura de qué le está diciendo.;Romance;Fiction;Reid, Taylor Jenkins;320;4.10;4;really liked it;Dec 14, 2022;Dec 13, 2022
Love on the Brain;From the New York Times bestselling author of The Love Hypothesis comes a new STEMinist rom-com in which a scientist is forced to work on a project with her nemesis—with explosive results.Bee Königswasser lives by a simple code: What would Marie Curie do? If NASA offered her the lead on a neuroengineering project - a literal dream come true - Marie would accept without hesitation. Duh. But the mother of modern physics never had to co-lead with Levi Ward.Sure, Levi is attractive in a tall, dark, and piercing-eyes kind of way. But Levi made his feelings toward Bee very clear in grad school - archenemies work best employed in their own galaxies far, far away.But when her equipment starts to go missing and the staff ignore her, Bee could swear she sees Levi softening into an ally, backing her plays, seconding her ideas... devouring her with those eyes. The possibilities have all her neurons firing.But when it comes time to actually make a move and put her heart on the line, there's only one question that matters: What will Bee Königswasser do?;Romance;Contemporary;Hazelwood, Ali;368;3.99;2;it was ok;Dec 13, 2022;Aug 21, 2022
Heartstopper: Volume Three;In this volume we’ll see the Heartstopper gang go on a school trip to Paris! Not only are Nick and Charlie navigating a new city, but also telling more people about their relationship AND learning more about the challenges each other are facing in private…Meanwhile Tao and Elle will face their feelings for each other, Tara and Darcy share more about their relationship origin story, and the teachers supervising the trip seem… rather close…?;Graphic Novels;Romance;Oseman, Alice;384;4.61;5;it was amazing;Nov 27, 2022;Nov 25, 2022
Heartstopper: Volume One;Charlie, a highly-strung, openly gay over-thinker, and Nick, a cheerful, soft-hearted rugby player, meet at a British all-boys grammar school. Friendship blooms quickly, but could there be something more...?Charlie Spring is in Year 10 at Truham Grammar School for Boys. The past year hasn't been too great, but at least he's not being bullied anymore. Nick Nelson is in Year 11 and on the school rugby team. He's heard a little about Charlie - the kid who was outed last year and bullied for a few months - but he's never had the opportunity to talk to him.They quickly become friends, and soon Charlie is falling hard for Nick, even though he doesn't think he has a chance. But love works in surprising ways, and sometimes good things are waiting just around the corner...;Graphic Novels;Romance;Oseman, Alice;288;4.51;5;it was amazing;Nov 25, 2022;Jul 19, 2021
Heartstopper: Volume Two;Nick and Charlie are best friends. Nick knows Charlie's gay, and Charlie is sure that Nick isn't. But love works in surprising ways, and Nick is discovering all kinds of things about his friends, his family ... and himself.;Graphic Novels;Romance;Oseman, Alice;320;4.58;5;it was amazing;Nov 25, 2022;Nov 25, 2022
Verity;Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of what really happened the day her daughter died.Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents would devastate the already grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue to love her.;Thriller;Romance;Hoover, Colleen;336;4.38;4;really liked it;Sep 03, 2022;Aug 01, 2022
Below Zero;It will take the frosty terrain of the Arctic to show these rival scientists that their chemistry burns hot.Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn… Hannah’s got a bad feeling about this. Not only has the NASA aerospace engineer found herself injured and stranded at a remote Arctic research station—but the one person willing to undertake the hazardous rescue mission is her longtime rival. Ian has been many things to Hannah: the villain who tried to veto her expedition and ruin her career, the man who stars in her most deliciously lurid dreams…but he’s never played the hero. So why is he risking everything to be here? And why does his presence seem just as dangerous to her heart as the coming snowstorm? To read Mara and Sadie’s stories look for the novellas Under One Roof and Stuck with You available now from Berkley!;Romance;Contemporary;Hazelwood, Ali;139;3.65;3;liked it;Sep 03, 2022;Aug 21, 2022
Stuck with You;Nothing like a little rivalry between scientists to take love to the next level.Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn… Logically, Sadie knows that civil engineers are supposed to build bridges. However, as a woman of STEM she also understands that variables can change, and when you are stuck for hours in a tiny New York elevator with the man who broke your heart, you earn the right to burn that brawny, blond bridge to the ground. Erik can apologize all he wants, but to quote her rebel leader—she’d just as soon kiss a Wookiee. Not even the most sophisticated of Sadie’s superstitious rituals could have predicted such a disastrous reunion. But while she refuses to acknowledge the siren call of Erik’s steely forearms or the way his voice softens when he offers her his sweater, Sadie can’t help but wonder if there might be more layers to her cold-hearted nemesis than meet the eye. Maybe, possibly, even burned bridges can still be crossed…. To read Mara and Hannah’s stories look for the novellas Under One Roof, available now, and Below Zero, coming soon from Berkley!;Romance;Contemporary;Hazelwood, Ali;127;3.65;5;it was amazing;Aug 21, 2022;Aug 21, 2022
Under One Roof;A scientist should never cohabitate with her annoyingly hot nemesis – it leads to combustion.Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn….As an environmental engineer, Mara knows all about the delicate nature of ecosystems. They require balance. And leaving the thermostat alone. And not stealing someone else’s food. And other rules Liam, her detestable big-oil lawyer of a roommate, knows nothing about. Okay, sure, technically she’s the interloper. Liam was already entrenched in his aunt’s house like some glowering grumpy giant when Mara moved in, with his big muscles and kissable mouth just sitting there on the couch tempting respectable scientists to the dark side…but Helena was her mentor and Mara’s not about to move out and give up her inheritance without a fight.The problem is, living with someone means getting to know them. And the more Mara finds out about Liam, the harder it is to loathe him…and the easier it is to love him.To listen to Sadie and Hannah’s stories, look for the novellas Stuck with You and Below Zero, coming soon, available first on audio!;Romance;Contemporary;Hazelwood, Ali;112;3.71;4;really liked it;Aug 21, 2022;Aug 21, 2022
Botones y encaje;Tengo una deuda con él.  Una gran deuda.  Se puede pagar con dinero o con favores.  Él sólo quiere una cosa.  A mí.  Toda acción obtiene una recompensa. Un botón. Cuando consiga llenar su frasco con trescientos sesenta y cinco botones, me dejará marchar.  Dejará que me vaya.  Pero tengo que ganarme todos y cada uno de ellos.  Sometiéndome al hombre más oscuro, cruel y atractivo que he conocido nunca.  ** AVISO DE SENSIBILIDAD ** Esta obra contiene algunas escenas oscuras e inquietantes de abuso y castigo;Dark;Romance;Sky, Penelope;277;4.08;4;really liked it;Jul 22, 2022;Jun 14, 2022
Inmune a ti;Ninguna chica podía resistírsele... hasta que la conoció.Allie está en modo CRISIS. No sabe qué hacer con su vida, acaba de dejar a su novio y, en un momento de locura, se enrolla con Dean de Laurentis, el tío más guapo y más ligón del campus.Hay que reconocer que no estuvo nada, nada mal. Pero lo último que necesita es liarse con un rompecorazones. Por mucho que Dean no esté dispuesto a quedar como «solo amigos». Por mucho que, cuando la vida da un giro de 180 grados, él sea el tío capaz de permanecer a su lado...;Romance;New Adult;Kennedy, Elle;304;4.20;3;liked it;Jul 17, 2022;Jul 17, 2022
Objetivo: tú y yo;Si quiere recuperar a su chica, va a tener que seducirla...Logan conoce a Grace por casualidad. Metido a fondo en su papel de playboy, iba buscando a otra persona, pero acabó llamando a la puerta Grace y se encontró con una chica tierna, divertida... y para nada lo que Logan anda buscando.Así que Logan rechaza a Grace. Error. ¡ERROR!Ahora ella no quiere saber nada de él, pero Logan está dispuesto a lo que sea, LO QUE SEA, con tal de tener una segunda oportunidad.;Romance;New Adult;Kennedy, Elle;356;4.04;3;liked it;Jul 15, 2022;Jul 15, 2022
Prohibido enamorarse;Hannah va a hacer un trato con un chico malo... y va a ganar más de lo que espera. Hannah por fin ha encontrado un chico que la vuelve loca, pero hay un pequeño problema: no tiene ni idea de cómo seducirle. La solución es Garrett, el deportista y playboy más deseado del campus: él necesita aprobar un examen a toda costa, y a cambio puede ayudarla a poner celoso a cualquiera... Incluso a sí mismo. Cuando un beso inocente les lleva a una noche increíble, Garrett ve la luz: Hannah no puede irse con otro. Tiene que convencerla de que se quede a su lado. Chicos que saben lo que hacen. Chicas que saben lo que quieren. Risas, amor, y mucho, mucha tensión sexual.;Romance;New Adult;Kennedy, Elle;352;4.26;3;liked it;Jul 13, 2022;Jul 13, 2022
Punk 57;"""We were perfect together. Until we met."" MishaI can’t help but smile at the words in her letter. She misses me.In fifth grade, my teacher set us up with pen pals from a different school. Thinking I was a girl, with a name like Misha, the other teacher paired me up with her student, Ryen. My teacher, believing Ryen was a boy like me, agreed.It didn’t take long for us to figure out the mistake. And in no time at all, we were arguing about everything. The best take-out pizza. Android vs. iPhone. Whether or not Eminem is the greatest rapper ever…And that was the start. For the next seven years, it was us.Her letters are always on black paper with silver writing. Sometimes there’s one a week or three in a day, but I need them. She’s the only one who keeps me on track, talks me down, and accepts everything I am. We only had three rules. No social media, no phone numbers, no pictures. We had a good thing going. Why ruin it? Until I run across a photo of a girl online. Name’s Ryen, loves Gallo’s pizza, and worships her iPhone. What are the chances?F*ck it. I need to meet her.I just don’t expect to hate what I find.RyenHe hasn’t written in three months. Something’s wrong. Did he die? Get arrested? Knowing Misha, neither would be a stretch.Without him around, I’m going crazy. I need to know someone is listening. It’s my own fault. I should've gotten his number or picture or something. He could be gone forever.Or right under my nose, and I wouldn’t even know it.";Romance;Contemporary;Douglas, Penelope;343;3.82;5;it was amazing;Jul 11, 2022;May 03, 2022
People We Meet on Vacation;"Two best friends. Ten summer trips. One last chance to fall in love.Poppy and Alex. Alex and Poppy. They have nothing in common. She’s a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they live far apart—she’s in New York City, and he’s in their small hometown—but every summer, for a decade, they have taken one glorious week of vacation together. Until two years ago, when they ruined everything. They haven’t spoken since. Poppy has everything she should want, but she’s stuck in a rut. When someone asks when she was last truly happy, she knows, without a doubt, it was on that ill-fated, final trip with Alex. And so, she decides to convince her best friend to take one more vacation together—lay everything on the table, make it all right. Miraculously, he agrees. Now she has a week to fix everything. If only she can get around the one big truth that has always stood quietly in the middle of their seemingly perfect relationship. What could possibly go wrong?From the New York Times bestselling author of Beach Read, a sparkling new novel that will leave you with the warm, hazy afterglow usually reserved for the best vacations.";Romance;Fiction;Henry, Emily;364;3.93;2;it was ok;Jul 09, 2022;Dec 15, 2021
Kingdom of Ash;Aelin Galathynius has vowed to save her people ? but at a tremendous cost. Locked within an iron coffin by the Queen of the Fae, Aelin must draw upon her fiery will as she endures months of torture. The knowledge that yielding to Maeve will doom those she loves keeps her from breaking, but her resolve is unraveling with each passing day…With Aelin captured, friends and allies are scattered to different fates. Some bonds will grow even deeper, while others will be severed forever. As destinies weave together at last, all must fight if Erilea is to have any hope of salvation.Years in the making, Sarah J. Maas's New York Times bestselling Throne of Glass series draws to an explosive conclusion as Aelin fights to save herself?and the promise of a better world.;Fantasy;Young Adult;Maas, Sarah J.;980;4.63;5;it was amazing;Jul 04, 2022;May 12, 2022
The Unhoneymooners;Olive is always unlucky: in her career, in love, in…well, everything. Her identical twin sister Ami, on the other hand, is probably the luckiest person in the world. Her meet-cute with her fiancé is something out of a romantic comedy (gag) and she’s managed to finance her entire wedding by winning a series of Internet contests (double gag). Worst of all, she’s forcing Olive to spend the day with her sworn enemy, Ethan, who just happens to be the best man.Olive braces herself to get through 24 hours of wedding hell before she can return to her comfortable, unlucky life. But when the entire wedding party gets food poisoning from eating bad shellfish, the only people who aren’t affected are Olive and Ethan. And now there’s an all-expenses-paid honeymoon in Hawaii up for grabs.Putting their mutual hatred aside for the sake of a free vacation, Olive and Ethan head for paradise, determined to avoid each other at all costs. But when Olive runs into her future boss, the little white lie she tells him is suddenly at risk to become a whole lot bigger. She and Ethan now have to pretend to be loving newlyweds, and her luck seems worse than ever. But the weird thing is that she doesn’t mind playing pretend. In fact, she feels kind of... lucky.Alternate cover edition of ISBN 9781501128035.;Romance;Contemporary;Lauren, Christina;400;3.96;3;liked it;Jul 02, 2022;Jul 02, 2022
Alguien que no soy;Alba es periodista de vocación, es soltera y sobrevive en Lavapiés. Alba pierde su empleo, pero Gabi le consigue una entrevista. Alba ahora es secretaria y se siente frustrada. En su primer día de trabajo cruza la mirada con un hombre en el metro. Ese hombre es Hugo. Sexy, provocador y horriblemente deseable. También conocerá a Nicolás, enigmático e inquietantemente atractivo. Y...todo se complica cuando Hugo y Nico le proponen un juego... Después del éxito de las sagas Valeria y Silvia, con más de 100.000 ejemplares vendidos, Elísabet Benavent regresa con más fuerza que nunca para ofrecerte un triángulo amoroso eléctrico, una trilogía que te hará temblar y que te agitará hasta la locura. Tú eliges. ¿Quieres jugar? Divertida, desenfadada, abierta, sexual, arriesgada, enérgica, Alguien que no soy, la primera entrega de Mi elección, es puro fuego y placer para los sentidos.;Romance;Erotic Romance;Benavent, Elísabet;424;3.88;2;it was ok;Jun 17, 2022;Jun 14, 2022
The Kiss Quotient;A heartwarming and refreshing debut novel that proves one thing: there's not enough data in the world to predict what will make your heart tick.Stella Lane thinks math is the only thing that unites the universe. She comes up with algorithms to predict customer purchases—a job that has given her more money than she knows what to do with, and way less experience in the dating department than the average thirty-year-old.It doesn't help that Stella has Asperger's and French kissing reminds her of a shark getting its teeth cleaned by pilot fish. Her conclusion: she needs lots of practice—with a professional. Which is why she hires escort Michael Phan. The Vietnamese and Swedish stunner can't afford to turn down Stella's offer, and agrees to help her check off all the boxes on her lesson plan—from foreplay to more-than-missionary position...Before long, Stella not only learns to appreciate his kisses, but to crave all the other things he's making her feel. Soon, their no-nonsense partnership starts making a strange kind of sense. And the pattern that emerges will convince Stella that love is the best kind of logic...;Romance;Contemporary;Hoang, Helen;323;3.93;5;it was amazing;Jun 15, 2022;Jun 14, 2022
From Lukov with Love;If someone were to ask Jasmine Santos to describe the last few years of her life with a single word, it would definitely be a four-letter one.After seventeen years—and countless broken bones and broken promises—she knows her window to compete in figure skating is coming to a close.But when the offer of a lifetime comes in from an arrogant idiot she’s spent the last decade dreaming about pushing in the way of a moving bus, Jasmine might have to reconsider everything.Including Ivan Lukov.;Romance;Contemporary;Zapata, Mariana;493;4.31;4;really liked it;Jun 14, 2022;Feb 28, 2022
A ?Court of Silver Flames;Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it.The one person who ignites her temper more than any other is Cassian, the battle-scarred warrior whose position in Rhysand and Feyre's Night Court keeps him constantly in Nesta's orbit. But her temper isn't the only thing Cassian ignites. The fire between them is undeniable, and only burns hotter as they are forced into close quarters with each other.Meanwhile, the treacherous human queens who returned to the Continent during the last war have forged a dangerous new alliance, threatening the fragile peace that has settled over the realms. And the key to halting them might very well rely on Cassian and Nesta facing their haunting pasts.Against the sweeping backdrop of a world seared by war and plagued with uncertainty, Nesta and Cassian battle monsters from within and without as they search for acceptance-and healing-in each other's arms.;Fantasy;Romance;Maas, Sarah J.;757;4.43;4;really liked it;Jun 12, 2022;Mar 20, 2022
